host,port,latency_ms,loss_pct,jitter_ms,ping_avg_ms,ping_min_ms,ping_max_ms,ping_loss_pct,ping_ok,tcp_avg_ms,tcp_min_ms,tcp_max_ms,tcp_jitter_ms,tcp_loss_pct,tcp_ok,score,org,city,country,checked_at
131.186.42.81,443,112,50,0,,,,100,false,112,112,112,0,50,true,37.6,Oracle Corporation,Tokyo,JP,2026-07-18T11:52:48.482Z
138.2.36.167,443,114,50,0,,,,100,false,114,114,114,0,50,true,37.2,Oracle Corporation,Osaka,JP,2026-07-18T11:57:06.149Z
138.2.39.24,443,114,50,0,,,,100,false,114,114,114,0,50,true,37.2,Oracle Corporation,Osaka,JP,2026-07-18T11:57:06.150Z
138.2.32.6,443,115,50,0,,,,100,false,115,115,115,0,50,true,37,Oracle Corporation,Osaka,JP,2026-07-18T11:57:06.150Z
138.2.36.109,443,115,50,0,,,,100,false,115,115,115,0,50,true,37,Oracle Corporation,Osaka,JP,2026-07-18T11:57:06.150Z
138.2.36.3,443,115,50,0,,,,100,false,115,115,115,0,50,true,37,Oracle Corporation,Osaka,JP,2026-07-18T11:57:06.151Z
133.167.66.12,80,116,50,0,,,,100,false,116,116,116,0,50,true,36.8,SAKURA-C SAKURA Internet Inc.,Osaka,Japan,2026-07-18T11:54:13.350Z
138.2.35.25,443,116,50,0,,,,100,false,116,116,116,0,50,true,36.8,Oracle Corporation,Osaka,JP,2026-07-18T11:57:06.151Z
130.110.249.47,443,136,50,0,,,,100,false,136,136,136,0,50,true,32.8,Oracle Corporation,Windsor,US,2026-07-18T11:52:03.067Z
134.185.110.100,443,143,50,0,,,,100,false,143,143,143,0,50,true,31.4,Oracle Corporation,Belmont,US,2026-07-18T11:54:13.378Z
134.185.99.132,443,143,50,0,,,,100,false,143,143,143,0,50,true,31.4,Oracle Corporation,Belmont,US,2026-07-18T11:54:55.811Z
134.185.104.199,443,147,50,0,,,,100,false,147,147,147,0,50,true,30.6,Oracle Corporation,Belmont,US,2026-07-18T11:54:13.382Z
134.185.100.65,443,151,50,0,,,,100,false,151,151,151,0,50,true,29.8,Oracle Corporation,Belmont,US,2026-07-18T11:54:13.385Z
129.121.34.61,443,168,50,0,,,,100,false,168,168,168,0,50,true,26.4,Oracle Corporation,Burlington,US,2026-07-18T11:47:01.211Z
