host,ip,port,protocol,title,domain,country,city,link,org
https://129.158.198.241:8443,129.158.198.241,8443,https,403 Forbidden,,US,Ashburn,https://129.158.198.241:8443,Oracle Corporation
https://161.33.76.218:8443,161.33.76.218,8443,https,403 Forbidden,,US,Mobile,https://161.33.76.218:8443,Oracle Corporation
https://64.181.249.193:8443,64.181.249.193,8443,https,403 Forbidden,,US,Belmont,https://64.181.249.193:8443,Oracle Corporation
140.245.59.102:8443,140.245.59.102,8443,http,,,US,Belmont,http://140.245.59.102:8443,Oracle Corporation
https://134.185.108.199:8443,134.185.108.199,8443,https,403 Forbidden,,US,Belmont,https://134.185.108.199:8443,Oracle Corporation
https://129.159.42.237:8443,129.159.42.237,8443,https,403 Forbidden,,US,San Jose,https://129.159.42.237:8443,Oracle Corporation
168.107.13.136:8443,168.107.13.136,8443,http,,,US,Belmont,http://168.107.13.136:8443,Oracle Corporation
https://192.9.159.219:8443,192.9.159.219,8443,https,403 Forbidden,,US,San Jose,https://192.9.159.219:8443,Oracle Corporation
https://161.33.14.183:8443,161.33.14.183,8443,https,403 Forbidden,,US,Mobile,https://161.33.14.183:8443,Oracle Corporation
https://159.54.175.60:8443,159.54.175.60,8443,https,403 Forbidden,,US,Belmont,https://159.54.175.60:8443,Oracle Corporation
https://40.233.93.217:8443,40.233.93.217,8443,https,403 Forbidden,,US,Belmont,https://40.233.93.217:8443,Oracle Corporation
192.9.137.193:8443,192.9.137.193,8443,http,,,US,San Jose,http://192.9.137.193:8443,Oracle Corporation
161.33.169.43:8443,161.33.169.43,8443,http,,,US,Mobile,http://161.33.169.43:8443,Oracle Corporation
129.146.91.19:8443,129.146.91.19,8443,http,,,US,Phoenix,http://129.146.91.19:8443,Oracle Corporation
40.233.5.132:8443,40.233.5.132,8443,http,,,US,Belmont,http://40.233.5.132:8443,Oracle Corporation
134.185.84.201:8443,134.185.84.201,8443,http,,,US,Belmont,http://134.185.84.201:8443,Oracle Corporation
140.245.90.56:8443,140.245.90.56,8443,http,,,US,Belmont,http://140.245.90.56:8443,Oracle Corporation
https://163.192.4.126:8443,163.192.4.126,8443,https,403 Forbidden,,US,Belmont,https://163.192.4.126:8443,Oracle Corporation
https://167.234.238.214:8443,167.234.238.214,8443,https,403 Forbidden,,US,Belmont,https://167.234.238.214:8443,Oracle Corporation
https://151.145.67.184:8443,151.145.67.184,8443,https,403 Forbidden,,US,Belmont,https://151.145.67.184:8443,Oracle Corporation
